symbol,R,description,units,default,type,temperature_response,tealeaves,note
"V_\mathrm{tpu}",V_tpu,rate of triose phosphate utilisation (T_leaf),umol / m^2 / s,NA,leaf,TRUE,FALSE,NA
"c_p",c_p,heat capacity of air,J / g / K,1.01,constants,FALSE,TRUE,NA
"R_\mathrm{air}",R_air,specific gas constant for dry air,J / kg / K,287.058,constants,FALSE,TRUE,NA
"E_q",E_q,energy per mole quanta,kJ / mol,220,enviro,FALSE,TRUE,NA
"f_\mathrm{PAR}",f_par,fraction of incoming shortwave radiation that is photosynthetically active radiation (PAR),none,0.5,enviro,FALSE,TRUE,NA
"r",r,reflectance for shortwave irradiance (albedo),none,0.2,enviro,FALSE,TRUE,NA
"T_\mathrm{air}",T_air,air temperature,K,298.15,enviro,FALSE,TRUE,NA
"T_\mathrm{sky}",T_sky,sky temperature,K,NA,enviro,FALSE,TRUE,"calculated"
"\alpha_\mathrm{l}",abs_l,absorbtivity of longwave radiation (4 - 80 um),none,0.97,leaf,FALSE,TRUE,NA
"\alpha_\mathrm{s}",abs_s,absorbtivity of shortwave radiation (0.3 - 4 um),none,0.50,leaf,FALSE,TRUE,NA
"g_\mathrm{sw}",g_sw,stomatal conductance to H2O,umol / m^2 / s,NA,leaf,FALSE,TRUE,"converted from g_sc"
"g_\mathrm{uw}",g_uw,cuticular conductance to H2O,umol / m^2 / s,NA,leaf,FALSE,TRUE,"converted from g_uc"
"\mathrm{logit}(sr)",logit_sr,stomatal ratio (logit transformed),none,NA,leaf,FALSE,TRUE,"converted from k_sc"
"\delta_\mathrm{ias,lower}",delta_ias_lower,effective distance through lower internal airspace,um,NA,leaf,FALSE,FALSE,"optional"
"\delta_\mathrm{ias,upper}",delta_ias_upper,effective distance through upper internal airspace,um,NA,leaf,FALSE,FALSE,"optional"
"A_\mathrm{mes} / A",A_mes_A,mesophyll surface area per unit leaf area,none,NA,leaf,FALSE,FALSE,"optional"
"g_\mathrm{liq,c,25}",g_liqc25,liquid-phase conductance to CO2 (25 °C),mol / m^2 / s,NA,leaf,FALSE,FALSE,"optional"
"g_\mathrm{liq,c}",g_liqc,liquid-phase conductance to CO2 (T_leaf),mol / m^2 / s,NA,leaf,TRUE,FALSE,"optional"
"g_\mathrm{ias,c,lower}",g_iasc_lower,internal airspace conductance to CO2 in lower part of leaf (T_leaf),mol / m^2 / s,NA,leaf,TRUE,FALSE,"optional"
"g_\mathrm{ias,c,upper}",g_iasc_upper,internal airspace conductance to CO2 in upper part of leaf (T_leaf),mol / m^2 / s,NA,leaf,TRUE,FALSE,"optional"
